WEEK,price,City
1,276.697688001947,Seattle
2,274.9412022389876,Seattle
3,275.0502311998053,Seattle
4,275.26415186176683,Seattle
5,275.6689218788026,Seattle
6,276.56232660014604,Seattle
7,276.42954490143586,Seattle
8,248.04574105621805,Seattle
9,241.35930883426624,Seattle
10,242.08279386712096,Seattle
11,245.90080311511318,Seattle
12,246.15405208079824,Seattle
13,247.09724993915793,Seattle
14,252.4806522268192,Seattle
15,252.8473594548552,Seattle
16,254.84614261377465,Seattle
17,256.1379897785349,Seattle
18,263.7177415429545,Seattle
19,266.8550498904843,Seattle
20,271.1458749087369,Seattle
21,283.17624726210755,Seattle
22,280.8750547578486,Seattle
23,280.5186663421757,Seattle
24,280.2815770260404,Seattle
25,283.8272572402044,Seattle
26,288.73210026770505,Seattle
27,303.56310537843757,Seattle
28,299.6043319542468,Seattle
29,302.59133609150643,Seattle
30,306.3216841080555,Seattle
31,307.30411292285225,Seattle
32,303.10995376003893,Seattle
33,303.4374787052811,Seattle
34,303.32825504989046,Seattle
35,304.95648576295935,Seattle
36,293.163640788513,Seattle
37,290.2902409345339,Seattle
38,287.82511559990263,Seattle
39,287.53740569481624,Seattle
40,284.3403261134096,Seattle
41,284.51233876855684,Seattle
42,279.5309807739109,Seattle
43,278.83523971769284,Seattle
44,276.8585543927963,Seattle
45,274.7681187636895,Seattle
46,274.84711608663906,Seattle
47,275.453005597469,Seattle
48,275.8608420540277,Seattle
49,274.4589924555853,Seattle
50,274.5701630567048,Seattle
51,275.4353370649793,Seattle
52,277.04005840837186,Seattle
