WEEK,price,City
1,204.734422129037,Boston
2,200.92240072749317,Boston
3,201.71716625463534,Boston
4,200.90038580246915,Boston
5,201.9378266215801,Boston
6,203.09778456837282,Boston
7,206.53464291152733,Boston
8,206.53345526596556,Boston
9,208.20103092783506,Boston
10,210.0604326172601,Boston
11,214.03462726069696,Boston
12,210.18002947678704,Boston
13,211.6325799136859,Boston
14,217.712486268766,Boston
15,248.93598628277488,Boston
16,246.53358736402188,Boston
17,225.49768018990073,Boston
18,253.58754255734777,Boston
19,292.6627620881472,Boston
20,318.55686132706563,Boston
21,329.57540113403303,Boston
22,265.5608678535497,Boston
23,288.6664515808805,Boston
24,266.1334387284225,Boston
25,265.04944381185953,Boston
26,269.02786364598774,Boston
27,276.38398400066666,Boston
28,281.5333241468008,Boston
29,291.7000895700637,Boston
30,294.2681660899654,Boston
31,285.30557681514364,Boston
32,275.3161653424139,Boston
33,272.7593871484107,Boston
34,275.136381995243,Boston
35,276.84601006470166,Boston
36,267.41356776100827,Boston
37,262.72730114080326,Boston
38,260.9683814303639,Boston
39,261.79652111813914,Boston
40,232.86553494341385,Boston
41,240.142828711689,Boston
42,253.01131991713524,Boston
43,248.9248032643544,Boston
44,227.28768787004705,Boston
45,216.8806853103872,Boston
46,217.26810418115775,Boston
47,215.28801541425818,Boston
48,213.9085197670855,Boston
49,206.062085454265,Boston
50,206.06028095091077,Boston
51,207.0989776951673,Boston
52,213.250136282221,Boston
